DatGeracaoConjuntoDados;DatRalie;IdeNucleoCEG;CodCEG;SigUFPrincipal;DscOrigemCombustivel;SigTipoGeracao;NomEmpreendimento;MdaPotenciaOutorgadaKw;DscPropriRegimePariticipacao;DscTipoConexao;NomConexao;MdaTensaoConexao;NomEmpresaConexao;NumCnpjEmpresaConexao;DscViabilidade;DscSituacaoObra;DatPrevisaoInicioObra;DatContratoEPCOutorgado;DatRecursoFinanceiroOutorgado;DatCanteiroObraOutorgado;DatCanteiroObraRealizado;DatInicioObraOutorgado;DatInicioObraRealizado;DatConcretagemOutorgado;DatConcretagemRealizado;DatDesvioRioOutorgado;DatDesvioRioRealizado;DatMontagemOutorgado;DatMontagemRealizado;DatConclusaoTorresOutorgado;DatConclusaoTorresRealizado;DatEnchimentoOutorgado;DatEnchimentoRealizado;DatComissionamentoUGRealizado;DatSisTransmissaoOutorgado;DatSisTransmissaoRealizado;DatConclusaoSisTransOutorgado;DatConclusaoSisTransRealizado;DscJustificativaPrevisao;DscComercializacaoEnergia;DscSistema;DatConclusaoTransporteRealizado;DscSituacaoCronograma;DatRapeel;IdcComplexo;NomComplexo;DatEmissaoLP;DatValidadeLP;DscSituacaoLP;DatEmissaoLI;DatValidadeLI;DscSituacaoLI;DatSolicitacaoLO;DatPrevistaEmissaoLO;DatPrevMaxEmissaoLO;DatEmissaoLO;DatValidadeLO;DscSituacaoLO;NomSituacaoParAcesso;DatSolicitacaoParAcesso;DatEmissaoParAcesso;DscSitCCD;DatValidadeCCD;DatAssinaturaCCD;DscSitCCT;DatValidadeCCT;DatAssinaturaCCT;DscSituacaoCusd;DatValidadeCusd;DatAssinaturaCusd;DscSitCust;DatValidadeCust;DatAssinaturaCust;DscAtoOutorga;DscNumeroAto;NomOrgaoOutorgante;DscTipoOutorga;DatEmissaoAto
26/05/2025;26/05/2025;324;UHE.PH.RS.000324-7.1;RS;Hídrica;UHE;Bugres;17620; 100% para COMPANHIA ESTADUAL DE GERACAO DE ENERGIA ELETRICA - CEEE-G (PIE);Subestação;Bugres;69;CPFL TRANSMISSAO S.A.;9,27E+13;Baixa;Não Iniciada;;;;31/01/2014;;28/02/2014;;31/12/2014;;;;31/03/2015;;;;;;;31/10/2014;;;;Inviabilidade da implantação da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/05/2025;;;12/12/2001;11/12/2002;Vencida;09/03/2021;09/03/2026;Válida;;01/01/2029;01/02/2029;;;Não Solicitada;Válido;08/04/2022;09/09/2022;Não se Aplica;;;Válido;31/03/2051;29/04/2022;Válido;06/11/2027;22/11/2022;Não se Aplica;;;Contrato;004/2022-02;ANEEL;Concessão;12/03/2025
26/05/2025;26/05/2025;659;PCH.PH.SC.000659-9.1;SC;Hídrica;PCH;Capivari;18738; 100% para Sociedade Urbano CERBRANORTE - Geração de Energia Elétrica SPE Ltda. (PIE);Subestação;Braço do Norte São Basílio;138;CELESC DISTRIBUICAO S.A;8,34E+12;Baixa;Paralisada;;;;01/03/2002;31/12/2012;30/04/2002;31/12/2012;31/08/2004;30/01/2014;01/03/2003;29/10/2013;28/02/2005;29/10/2014;;;;24/07/2017;;;01/10/2013;;17/09/2016;Paralisação de obras;ACR;Sistema Interligado Nacional;;Atrasado;03/05/2025;;;29/03/1999;29/03/2000;Vencida;29/06/2022;28/06/2028;Válida;23/02/2022;;;23/02/2022;22/02/2026;Válida;Válido;04/05/2016;04/05/2016;Válido;01/07/2022;04/05/2016;Válido;01/07/2022;04/05/2016;Válido;01/07/2022;04/05/2016;Válido;01/07/2022;04/05/2016;Resolução;13.079;ANEEL;Autorização;16/11/2022
26/05/2025;26/05/2025;796;UTE.AI.SP.000796-0.1;SP;Biomassa;UTE;Colombo Ariranha;96795; 100% para COLOMBO BIOENERGIA S.A. UTE 1 (PIE);Subestação;Pirangi – UTE Colombo;138;COMPANHIA PAULISTA DE FORCA E LUZ;3,31E+13;Média;Não Iniciada;30/06/2025;;;;;;;;;;;;;;;;;;;;;;Sem RAPEEL;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resolução;530;ANEEL;Autorização;13/10/2003
26/05/2025;26/05/2025;1195;UHE.PH.GO.001195-9.1;GO;Hídrica;UHE;Itumirim;50000; 100% para Companhia Energética Itumirim (PIE);Subestação;Rio Claro;138;EDP TRANSMISSAO GOIAS SA;7,78E+12;Baixa;Não Iniciada;;;;;;31/03/2002;;31/03/2002;;31/03/2004;;;;;;;;;;;;;Demandas judiciais;Fora ACR;Sistema Interligado Nacional;;Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contrato;053/2000;ANEEL;Concessão;26/07/2000
26/05/2025;26/05/2025;1455;PCH.PH.MG.001455-9.1;MG;Hídrica;PCH;Melo Viana  ;6516; 100% para EMPRESA FORÇA E LUZ SÃO SEBASTIÃO LTDA (PIE);Subestação;PCH Cachoeira do Emboque;138;ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;1,95E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;04/04/2025;;;23/08/2010;23/08/2014;Vencida;24/06/2015;24/06/2021;Vencida;;01/10/2025;01/11/2025;;;Não Solicitada;Não Solicitado;;;Não Assinado;;;Não se Aplica;;;Não Assinado;;;Não se Aplica;;;Resolução;246;ANEEL;Autorização;27/06/2005
26/05/2025;26/05/2025;1997;UHE.PH.RS.001997-6.2;RS;Hídrica;UHE;Passo de Ajuricaba;6200; 100% para DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ GERAÇÃO (SP);Seccionamento;LT Upa - Ijuí;23;DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUI;9,53E+13;Baixa;Não Iniciada;;;;;;;;;;;;;;;;;;;;;;;Nenhuma licença ambiental válida;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/05/2025;;;19/06/2001;17/11/2011;Vencida;;;Não Solicitada;30/04/2021;;;24/11/2021;22/01/2024;Válida;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Contrato;107-2º Termo Aditvo;MME;Concessão;04/12/2012
26/05/2025;26/05/2025;2586;PCH.PH.AP.002586-0.1;AP;Hídrica;PCH;Salto Cafesoca;7500; 100% para OIAPOQUE ENERGIA SA (PIE);Subestação;Oiapoque - Sistemas Isolados;34,5;COMPANHIA DE ELETRICIDADE DO AMAPA CEA;5,97E+12;Alta;Em andamento;;;;23/10/2021;03/10/2022;23/11/2021;15/09/2022;24/09/2022;07/12/2023;25/04/2022;15/09/2022;25/12/2022;01/05/2024;;;26/04/2023;23/09/2024;;25/12/2022;15/01/2023;;24/04/2025;Estágio das obras da usina;ACR;Sistemas Isolados;;Atrasado;06/05/2025;;;26/02/2018;26/02/2020;Vencida;22/06/2020;22/06/2024;Válida;13/09/2024;15/05/2025;30/05/2025;;;Solicitada;Válido;03/03/2019;23/05/2019;Não se Aplica;;;Não se Aplica;;;Válido;28/08/2024;28/08/2023;Não se Aplica;;;Despacho;2.440;ANEEL;Autorização;06/09/2022
26/05/2025;26/05/2025;26867;PCH.PH.SC.026867-4.1;SC;Hídrica;PCH;São Luiz;11500; 100% para IRANI PAPEL E EMBALAGEM S.A. (APE);Subestação;outro;0;;;Média;Não Iniciada;01/07/2025;;;07/04/2025;;01/07/2025;;02/02/2026;;03/08/2026;;;;;;;;;;;;;Sem Licença de Instalação - LI;Fora ACR;Sistema Interligado Nacional;;Normal;04/05/2025;;;14/04/2023;14/04/2028;Válida;;;Solicitada;;29/01/2027;29/03/2027;;;Não Solicitada;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Não se Aplica;;;Despacho;1.215;ANEEL;Autorização;15/04/2024
26/05/2025;26/05/2025;28000;PCH.PH.MT.028000-3.1;MT;Hídrica;PCH;Nhandu;13000; 100% para USINA ELÉTRICA DO NHANDU S.A. (PIE);Subestação;Matupá;138;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;3,47E+12;Baixa;Paralisada;;;;31/08/2004;01/08/2006;29/11/2004;01/08/2006;28/03/2005;;;;03/01/2006;;;;;;;;;;;Demandas judiciais;Fora ACR;Sistema Interligado Nacional;;Atrasado;06/05/2025;;;30/06/2000;30/06/2001;Vencida;08/06/2006;29/03/2009;Vencida;;30/12/2030;30/12/2030;;;Não Solicitada;Vencido;07/12/2004;07/12/2004;Não se Aplica;;;Não se Aplica;;;Vencido;01/06/2020;07/12/2004;Vencido;01/06/2020;07/12/2004;Resolução;437;ANEEL;Autorização;17/11/2000
26/05/2025;15/05/2025;324;UHE.PH.RS.000324-7.1;RS;Hídrica;UHE;Bugres;17620; 100% para COMPANHIA ESTADUAL DE GERACAO DE ENERGIA ELETRICA - CEEE-G (PIE);Subestação;Bugres;69;CPFL TRANSMISSAO S.A.;9,27158E+13;Baixa;Não Iniciada;;;;31/01/2014;;28/02/2014;;31/12/2014;;;;31/03/2015;;;;;;;31/10/2014;;;;Inviabilidade da implantação da usina;Fora ACR;Sistema Interligado Nacional;;Atrasado;01/05/2025;;;12/12/2001;11/12/2002;Vencida;09/03/2021;09/03/2026;Válida;;01/01/2029;01/02/2029;;;Não Solicitada;Válido;08/04/2022;09/09/2022;Não se Aplica;;;Válido;31/03/2051;29/04/2022;Válido;06/11/2027;22/11/2022;Não se Aplica;;;Contrato;004/2022-02;ANEEL;Concessão;12/03/2025
